,x,state/non_state
1,LRA: Lords Resistance Army,2
2,George Athor Deng Rebel Group,2
3,Gatluak Gai Rebel Group,2
4,SSLM/A: South Sudan Liberation Movement/Army,2
5,Murle Ethnic Militia (Sudan),2
6,Murle Ethnic Militia (South Sudan),2
7,Military Forces of Sudan (1989-),1
8,Shilluk Ethnic Militia (Sudan),2
9,Military Forces of South Sudan (2011-),1
10,Police Forces of South Sudan (2011-),1
11,Unidentified Armed Group (Sudan),2
12,Protesters (South Sudan),
13,Lou Nuer Ethnic Militia (South Sudan),2
14,Unidentified Armed Group (South Sudan),2
15,Militia (Gen. Peter Kuol Chol),2
16,Rioters (South Sudan),
17,SSDA: South Sudan Democratic Army,2
18,Militia (John Dueth Yiech),2
19,SSDF: South Sudan Defence Forces,1
20,PDF: Popular Defence Forces,1
21,Gok Ethnic Militia (Sudan),2
22,Yau Yau Rebels,2
23,Unidentified Ethnic Militia (South Sudan),2
24,Panyon Communal Militia (South Sudan),2
25,Dinka Ngok Ethnic Militia (Sudan),2
26,Dinka Pakam Ethnic Militia (Sudan),2
27,Deer Clan Dinka Ethnic Militia (South Sudan),2
28,Rumbek Communal Militia (South Sudan),2
29,Government of South Sudan (2011-),1
30,Nuer Ethnic Militia (Sudan),2
31,Militia (David Kuburin),
32,Dinka Ethnic Militia (South Sudan),2
33,Chenaabela Ethnic Militia (South Sudan),2
34,Adol Clan Dinka Ethnic Militia (South Sudan),2
35,Police Forces of South Sudan (2011-) Service Auxiliary Force,1
36,Rizaygat Ethnic Militia (Sudan),2
37,UNMISS: United Nations Mission in the Republic of South Sudan (2011-),1
38,SPLM-N: Sudan Peoples Liberation Movement (North),1
39,Bor Clan Dinka Ethnic Militia (Sudan),2
40,Nuer Ethnic Militia (South Sudan),2
41,Olonyi Rebel Group,2
42,Ogot Rebel Group,2
43,Gok Ethnic Militia (South Sudan),2
44,Koch Clan Dinka Ethnic Militia (South Sudan),2
45,Bor Clan Dinka Ethnic Militia (South Sudan),2
46,UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),1
47,Private Security Forces (South Sudan),1
48,Military Forces of South Sudan (2011-) Presidential Security Unit,1
49,Military Forces of South Sudan (2011),1
50,Mutiny of Military Forces of South Sudan (2011-),1
51,Yirol West Communal Militia (South Sudan),2
52,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,2
53,Military Forces of Uganda (1986-),1
54,Military Forces of the United States,1
55,Eastern Jikany Nuer Ethnic Militia (South Sudan),2
56,JEM: Justice and Equality Movement,2
57,Cueibet Communal Militia (South Sudan),2
58,Dinka Nyang Ethnic Militia (South Sudan),2
59,White Army (South Sudan),2
60,Kuei Ethnic Militia (South Sudan),2
61,Unidentified Communal Militia (South Sudan),2
62,Toposa Ethnic Militia (South Sudan),2
63,Duk Youth Militia (South Sudan),2
64,Nasir Communal Militia (South Sudan),2
65,Maban Communal Militia (South Sudan),2
66,Gaak Communal Militia (South Sudan),2
67,Waat Communal Militia (South Sudan),2
68,Twic East Area Youth Militia (South Sudan),2
69,Amonhim Communal Militia (South Sudan),2
70,Shilluk Ethnic Militia (South Sudan),2
71,Durbaar Clan Militia (South Sudan),2
72,Panyar Clan Militia (South Sudan),2
73,Protesters (Sudan),2
74,Unidentified Clan Militia (South Sudan),2
75,Bari Ethnic Militia (South Sudan),2
76,Misseriya Ethnic Militia (South Sudan),2
77,Koch Awac Sub-Clan Militia (South Sudan),2
78,SSDF-Mainstream: South Sudan Defence Forces (Mainstream Faction),1
79,Acholi Ethnic Militia (South Sudan),2
80,Former Military Forces of South Sudan (2011-),1
81,Nykapo Clan Militia (South Sudan),2
82,Pakam Communal Militia (South Sudan),2
83,Police Forces of South Sudan (2011-) Prison Guards,1
84,Maridi Communal Militia (South Sudan),2
85,Rup Dinka Ethnic Militia (South Sudan),2
86,Home Guards,1
87,Mbororo Ethnic Militia (Central African Republic),2
88,GEYL: Greater Equatoria Youth Leadership,2
89,MDF: Mabanese Defence Forces,1
90,Dacuek Ethnic Militia (South Sudan),2
91,Police Forces of South Sudan (2011-) National Security Service,1
92,Thuyic Ethnic Militia (South Sudan),2
93,Gok Dinka Ethnic Militia (South Sudan),2
94,Military Forces of South Sudan (2011-) Military Intelligence Service,1
